spark-submit --class FF /home/acald013/Research/GeoSpark/target/scala-2.11/pflock_2.11-0.1.jar --input /home/acald013/Research/Datasets/Berlin/SideBySide/B3.tsv --epsilon 110 --mu 3 --delta 3 --distance 100 --master 169.235.27.138 --cores 4 --executors 3 --spatial CUSTOM --customymf 30 --customxmf 90 --customy 30 --customx 90 --fftimestamp 5
2019-05-17 08:13:52,024|FF|app-20190517080852-0279|3|4|  END|301.01|3.Flocks to report                                |  1.96|226312|2
2019-05-17 08:13:52,024|FF|app-20190517080852-0279|3|4|START|301.01|4.Flocks prunned by expansion                     |  0.00|     0|2
2019-05-17 08:13:52,092|FF|app-20190517080852-0279|3|4|START|301.07|4a.Making expansions                              |  0.00|     0|2
2019-05-17 08:13:58,258|FF|app-20190517080852-0279|3|4|  END|307.24|4a.Making expansions                              |  6.17|268995|2
2019-05-17 08:13:58,258|FF|app-20190517080852-0279|3|4|START|307.24|4b.Finding maximals                               |  0.00|     0|2
2019-05-17 08:14:33,771|FF|app-20190517080852-0279|3|4|  END|342.75|4b.Finding maximals                               | 35.51| 57643|2
2019-05-17 08:14:33,772|FF|app-20190517080852-0279|3|4|START|342.75|4c.Selecting and mapping                          |  0.00|     0|2
2019-05-17 08:14:40,614|FF|app-20190517080852-0279|3|4|  END|349.60|4c.Selecting and mapping                          |  6.84| 57643|2
2019-05-17 08:14:40,614|FF|app-20190517080852-0279|3|4|START|349.60|4d.Filtering and distinc                          |  0.00|     0|2
2019-05-17 08:14:40,834|FF|app-20190517080852-0279|3|4|  END|349.82|4d.Filtering and distinc                          |  0.22| 57643|2
2019-05-17 08:14:41,535|FF|app-20190517080852-0279|3|4|  END|350.52|4.Flocks prunned by expansion                     | 49.51| 39610|2
2019-05-17 08:14:41,535|FF|app-20190517080852-0279|3|4|START|350.52|5.Flocks reported                                 |  0.00|     0|2
2019-05-17 08:14:42,078|FF|app-20190517080852-0279|3|4|  END|351.06|5.Flocks reported                                 |  0.54| 39610|2
2019-05-17 08:14:42,079|FF|app-20190517080852-0279|3|4|START|351.06|6.Candidates indexed                              |  0.00|     0|2
2019-05-17 08:14:45,409|FF|app-20190517080852-0279|3|4|  END|354.39|6.Candidates indexed                              |  3.33| 81040|2
2019-05-17 08:14:45,409|FF|app-20190517080852-0279|3|4|START|354.39|1.Maximal disks found                             |  0.00|     0|3
2019-05-17 08:14:45,409|MF|app-20190517080852-0279|3|4|START|354.39|A.Points indexed                                  |  0.00|     0|3
2019-05-17 08:14:45,576|MF|app-20190517080852-0279|3|4|  END|354.56|A.Points indexed                                  |  0.17|111300|3
2019-05-17 08:14:45,576|MF|app-20190517080852-0279|3|4|START|354.56|B.Pairs found                                     |  0.00|     0|3
2019-05-17 08:14:46,442|MF|app-20190517080852-0279|3|4|  END|355.42|B.Pairs found                                     |  0.87|247554|3
2019-05-17 08:14:46,442|MF|app-20190517080852-0279|3|4|START|355.42|C.Centers found                                   |  0.00|     0|3
2019-05-17 08:14:46,696|MF|app-20190517080852-0279|3|4|  END|355.68|C.Centers found                                   |  0.25|495108|3
2019-05-17 08:14:46,696|MF|app-20190517080852-0279|3|4|START|355.68|D.Disks found                                     |  0.00|     0|3
2019-05-17 08:14:50,719|MF|app-20190517080852-0279|3|4|  END|359.70|D.Disks found                                     |  4.02|222526|3
2019-05-17 08:14:50,720|MF|app-20190517080852-0279|3|4|START|359.70|E.Disks indexed                                   |  0.00|     0|3
2019-05-17 08:14:51,313|MF|app-20190517080852-0279|3|4|  END|360.29|E.Disks indexed                                   |  0.59|222526|3
2019-05-17 08:14:51,313|MF|app-20190517080852-0279|3|4|START|360.29|F.Expansions gotten                               |  0.00|     0|3
2019-05-17 08:14:57,882|MF|app-20190517080852-0279|3|4|  END|366.86|F.Expansions gotten                               |  6.57|313216|3
2019-05-17 08:14:57,882|MF|app-20190517080852-0279|3|4|START|366.86|G.Maximal disks found                             |  0.00|     0|3
2019-05-17 08:15:38,465|MF|app-20190517080852-0279|3|4|  END|407.45|G.Maximal disks found                             | 40.58| 61657|3
2019-05-17 08:15:38,465|MF|app-20190517080852-0279|3|4|START|407.45|H.Maximal disks prunned                           |  0.00|     0|3
2019-05-17 08:15:46,543|MF|app-20190517080852-0279|3|4|  END|415.52|H.Maximal disks prunned                           |  8.08| 41968|3
2019-05-17 08:15:47,243|FF|app-20190517080852-0279|3|4|  END|416.22|1.Maximal disks found                             | 61.83| 41968|3
2019-05-17 08:15:47,243|FF|app-20190517080852-0279|3|4|START|416.22|2.Join done                                       |  0.00|     0|3
2019-05-17 08:16:38,131|FF|app-20190517080852-0279|3|4|  END|467.11|2.Join done                                       | 50.89|263266|3
2019-05-17 08:16:38,131|FF|app-20190517080852-0279|3|4|START|467.11|3.Flocks to report                                |  0.00|     0|3
2019-05-17 08:16:39,980|FF|app-20190517080852-0279|3|4|  END|468.96|3.Flocks to report                                |  1.85|226198|3
2019-05-17 08:16:39,980|FF|app-20190517080852-0279|3|4|START|468.96|4.Flocks prunned by expansion                     |  0.00|     0|3
2019-05-17 08:16:40,048|FF|app-20190517080852-0279|3|4|START|469.03|4a.Making expansions                              |  0.00|     0|3
2019-05-17 08:16:45,544|FF|app-20190517080852-0279|3|4|  END|474.53|4a.Making expansions                              |  5.50|268339|3
2019-05-17 08:16:45,544|FF|app-20190517080852-0279|3|4|START|474.53|4b.Finding maximals                               |  0.00|     0|3
2019-05-17 08:17:41,804|FF|app-20190517080852-0279|3|4|  END|530.79|4b.Finding maximals                               | 56.26| 58132|3
2019-05-17 08:17:41,804|FF|app-20190517080852-0279|3|4|START|530.79|4c.Selecting and mapping                          |  0.00|     0|3
2019-05-17 08:17:45,552|FF|app-20190517080852-0279|3|4|  END|534.53|4c.Selecting and mapping                          |  3.75| 58132|3
2019-05-17 08:17:45,552|FF|app-20190517080852-0279|3|4|START|534.53|4d.Filtering and distinc                          |  0.00|     0|3
2019-05-17 08:17:45,756|FF|app-20190517080852-0279|3|4|  END|534.74|4d.Filtering and distinc                          |  0.20| 58132|3
2019-05-17 08:17:46,647|FF|app-20190517080852-0279|3|4|  END|535.63|4.Flocks prunned by expansion                     | 66.67| 40018|3
2019-05-17 08:17:46,648|FF|app-20190517080852-0279|3|4|START|535.63|5.Flocks reported                                 |  0.00|     0|3
2019-05-17 08:17:47,144|FF|app-20190517080852-0279|3|4|  END|536.13|5.Flocks reported                                 |  0.50| 40018|3
2019-05-17 08:17:47,145|FF|app-20190517080852-0279|3|4|START|536.13|6.Candidates indexed                              |  0.00|     0|3
2019-05-17 08:17:49,710|FF|app-20190517080852-0279|3|4|  END|538.69|6.Candidates indexed                              |  2.57| 80908|3
2019-05-17 08:17:49,710|FF|app-20190517080852-0279|3|4|START|538.69|1.Maximal disks found                             |  0.00|     0|4
2019-05-17 08:17:49,710|MF|app-20190517080852-0279|3|4|START|538.69|A.Points indexed                                  |  0.00|     0|4
2019-05-17 08:17:49,872|MF|app-20190517080852-0279|3|4|  END|538.85|A.Points indexed                                  |  0.16|111300|4
2019-05-17 08:17:49,872|MF|app-20190517080852-0279|3|4|START|538.85|B.Pairs found                                     |  0.00|     0|4
2019-05-17 08:17:50,819|MF|app-20190517080852-0279|3|4|  END|539.80|B.Pairs found                                     |  0.95|247470|4
2019-05-17 08:17:50,819|MF|app-20190517080852-0279|3|4|START|539.80|C.Centers found                                   |  0.00|     0|4
2019-05-17 08:17:51,078|MF|app-20190517080852-0279|3|4|  END|540.06|C.Centers found                                   |  0.26|494940|4
2019-05-17 08:17:51,078|MF|app-20190517080852-0279|3|4|START|540.06|D.Disks found                                     |  0.00|     0|4
2019-05-17 08:17:55,532|MF|app-20190517080852-0279|3|4|  END|544.51|D.Disks found                                     |  4.45|222178|4
2019-05-17 08:17:55,532|MF|app-20190517080852-0279|3|4|START|544.51|E.Disks indexed                                   |  0.00|     0|4
2019-05-17 08:17:56,144|MF|app-20190517080852-0279|3|4|  END|545.13|E.Disks indexed                                   |  0.61|222178|4
2019-05-17 08:17:56,145|MF|app-20190517080852-0279|3|4|START|545.13|F.Expansions gotten                               |  0.00|     0|4
2019-05-17 08:18:02,532|MF|app-20190517080852-0279|3|4|  END|551.51|F.Expansions gotten                               |  6.39|312913|4
2019-05-17 08:18:02,532|MF|app-20190517080852-0279|3|4|START|551.51|G.Maximal disks found                             |  0.00|     0|4
2019-05-17 08:18:36,491|MF|app-20190517080852-0279|3|4|  END|585.47|G.Maximal disks found                             | 33.96| 61656|4
2019-05-17 08:18:36,492|MF|app-20190517080852-0279|3|4|START|585.47|H.Maximal disks prunned                           |  0.00|     0|4
