partitionId	taskId	grid_id	wkt	area	perimeter	jobId	jobGroup	stageId	index	launchTime	finishTime	duration	schedulerDelay	executorId	host	taskLocality	speculative	gettingResultTime	successful	executorRunTime	executorCpuTime	executorDeserializeTime	executorDeserializeCpuTime	resultSerializationTime	jvmGCTime	resultSize	numUpdatedBlockStatuses	diskBytesSpilled	memoryBytesSpilled	peakExecutionMemory	recordsRead	bytesRead	recordsWritten	bytesWritten	shuffleFetchWaitTime	shuffleTotalBytesRead	shuffleTotalBlocksFetched	shuffleLocalBlocksFetched	shuffleRemoteBlocksFetched	shuffleWriteTime	shuffleBytesWritten	shuffleRecordsWritten	appId	phaseName	epsilon
2163	22945	2163	POLYGON ((1965358.0123 543409.5416, 1965358.0123 543726.0458, 1965608.6967 543726.0458, 1965608.6967 543409.5416, 1965358.0123 543409.5416))	79342.64958134083	1134.3770781250205	12		41	22945	1594773029893	1594773030094	201	10	11	mr-03	0	false	0	true	177	26	14	13	0	0	967	0	0	0	0	0	0	0	0	143	6666	74	8	66	0	0	0	0627	Disks phase	10.0
2347	23129	2347	POLYGON ((1967112.8031 536446.4503, 1967112.8031 536762.9545, 1967363.4875 536762.9545, 1967363.4875 536446.4503, 1967112.8031 536446.4503))	79342.64958134083	1134.3770781250205	12		41	23129	1594773030516	1594773030566	50	4	1	mr-01	0	false	0	true	31	27	15	14	0	0	967	0	0	0	0	0	0	0	0	0	10366	114	6	108	0	0	0	0627	Disks phase	10.0
1163	21945	1163	POLYGON ((1992682.6109 571578.4108, 1992682.6109 571894.915, 1992933.2953 571894.915, 1992933.2953 571578.4108, 1992682.6109 571578.4108))	79342.64958134083	1134.3770781250205	12		41	21945	1594773026568	1594773026788	220	8	5	mr-08	0	false	0	true	199	24	13	13	0	0	967	0	0	0	0	0	0	0	0	173	7992	88	8	80	0	0	0	0627	Disks phase	10.0
1548	22330	1548	POLYGON ((1986415.5012 555120.1951, 1986415.5012 555753.2034, 1986916.8699 555753.2034, 1986916.8699 555120.1951, 1986415.5012 555120.1951))	317370.5983253633	2268.754156250041	12		41	22330	1594773028601	1594773029031	430	3	7	mr-02	0	false	0	true	410	34	17	16	0	0	967	0	0	0	0	0	0	0	0	372	13326	146	24	122	0	0	0	0627	Disks phase	10.0
524	21306	524	POLYGON ((1964856.6436 558285.2366, 1964856.6436 558918.2449, 1965358.0123 558918.2449, 1965358.0123 558285.2366, 1964856.6436 558285.2366))	317370.5983253633	2268.754156250041	12		41	21306	1594773025455	1594773025640	185	4	12	mr-10	0	false	0	true	166	25	15	16	0	0	967	0	0	0	0	0	0	0	0	139	3428	38	6	32	0	0	0	0627	Disks phase	10.0
357	21139	357	POLYGON ((1974507.9926 565406.5799, 1974507.9926 565564.832, 1974633.3348 565564.832, 1974633.3348 565406.5799, 1974507.9926 565406.5799))	19835.66239532791	567.1885390623938	12		41	21139	1594773025130	1594773025463	333	3	9	mr-06	0	false	0	true	316	30	14	13	0	132	1010	0	0	0	0	0	0	0	0	137	1984	22	0	22	0	0	0	0627	Disks phase	10.0
2791	23573	2791	POLYGON ((1986415.5012 547524.0955, 1986415.5012 548157.1038, 1986916.8699 548157.1038, 1986916.8699 547524.0955, 1986415.5012 547524.0955))	317370.5983253633	2268.754156250041	12		41	23573	1594773031343	1594773031584	241	17	6	mr-04	0	false	0	true	212	16	12	11	0	0	967	0	0	0	0	0	0	0	0	194	4688	52	2	50	0	0	0	0627	Disks phase	10.0
38	20820	38	POLYGON ((1965984.7233 570945.4025, 1965984.7233 571103.6546, 1966110.0655 571103.6546, 1966110.0655 570945.4025, 1965984.7233 570945.4025))	19835.66239532791	567.1885390623938	12		41	20820	1594773024612	1594773024894	282	19	4	mr-07	0	false	0	true	176	39	87	18	0	0	967	0	0	0	0	0	0	0	0	0	1964	22	0	22	0	0	0	0627	Disks phase	10.0
476	21258	476	POLYGON ((1965044.6569 560421.6396, 1965044.6569 560500.7656, 1965107.328 560500.7656, 1965107.328 560421.6396, 1965044.6569 560421.6396))	4958.915598835625	283.59426953131333	12		41	21258	1594773025323	1594773025467	144	5	3	mr-05	0	false	0	true	106	18	33	13	0	14	1010	0	0	0	0	0	0	0	0	85	2064	22	4	18	0	0	0	0627	Disks phase	10.0
400	21182	400	POLYGON ((1964104.5904 563428.429, 1964104.5904 563507.555, 1964167.2615 563507.555, 1964167.2615 563428.429, 1964104.5904 563428.429))	4958.915598835625	283.59426953131333	12		41	21182	1594773025232	1594773025302	70	6	8	mr-11	0	false	0	true	50	47	14	14	0	0	967	0	0	0	0	0	0	0	0	0	2422	26	2	24	0	0	0	0627	Disks phase	10.0
