partitionId	taskId	grid_id	wkt	jobId	jobGroup	stageId	index	launchTime	finishTime	duration	schedulerDelay	executorId	host	taskLocality	speculative	gettingResultTime	successful	executorRunTime	executorCpuTime	executorDeserializeTime	executorDeserializeCpuTime	resultSerializationTime	jvmGCTime	resultSize	numUpdatedBlockStatuses	diskBytesSpilled	memoryBytesSpilled	peakExecutionMemory	recordsRead	bytesRead	recordsWritten	bytesWritten	shuffleFetchWaitTime	shuffleTotalBytesRead	shuffleTotalBlocksFetched	shuffleLocalBlocksFetched	shuffleRemoteBlocksFetched	shuffleWriteTime	shuffleBytesWritten	shuffleRecordsWritten	appId	phaseName
219	10321	219	POLYGON ((1974384.0254 558442.5824, 1974384.0254 558600.8032, 1974509.3364 558600.8032, 1974509.3364 558442.5824, 1974384.0254 558442.5824))	12		41	10321	1594667754432	1594667754483	51	4	7	mr-09	0	false	0	true	42	29	5	4	0	0	967	0	0	0	0	0	0	0	0	0	5292	58	2	56	0	0	0	0624	Disks phase
38	10140	38	POLYGON ((1965862.8811 563980.3112, 1965862.8811 566511.8444, 1967867.8562 566511.8444, 1967867.8562 563980.3112, 1965862.8811 563980.3112))	12		41	10140	1594667753895	1594667754250	355	13	3	mr-04	0	false	0	true	262	157	80	8	0	0	967	0	0	0	0	0	0	0	0	0	25502	280	28	252	0	0	0	0624	Disks phase
195	10297	195	POLYGON ((1976639.6224 560183.0115, 1976639.6224 560499.4531, 1976890.2443 560499.4531, 1976890.2443 560183.0115, 1976639.6224 560183.0115))	12		41	10297	1594667754288	1594667754341	53	3	12	mr-05	0	false	0	true	45	30	5	5	0	11	1010	0	0	0	0	0	0	0	0	1	5238	58	2	56	0	0	0	0624	Disks phase
860	10962	860	POLYGON ((1989922.5826 536133.4462, 1989922.5826 537399.2128, 1990925.0702 537399.2128, 1990925.0702 536133.4462, 1989922.5826 536133.4462))	12		41	10962	1594667755963	1594667756515	552	4	7	mr-09	0	false	0	true	544	31	4	4	0	332	1010	0	0	0	0	0	0	0	0	173	5834	64	4	60	0	0	0	0624	Disks phase
232	10334	232	POLYGON ((1976890.2443 557651.4783, 1976890.2443 558917.2449, 1977892.7319 558917.2449, 1977892.7319 557651.4783, 1976890.2443 557651.4783))	12		41	10334	1594667754442	1594667754503	61	4	9	mr-10	0	false	0	true	53	31	4	5	0	0	967	0	0	0	0	0	0	0	0	1	6490	72	4	68	0	0	0	0624	Disks phase
35	10137	35	POLYGON ((1964860.3936 565246.0778, 1964860.3936 566511.8444, 1965862.8811 566511.8444, 1965862.8811 565246.0778, 1964860.3936 565246.0778))	12		41	10137	1594667753895	1594667754191	296	18	7	mr-09	0	false	0	true	198	77	80	7	0	10	1010	0	0	0	0	0	0	0	0	0	10382	114	12	102	0	0	0	0624	Disks phase
493	10595	493	POLYGON ((1967867.8562 543728.0457, 1967867.8562 546259.5789, 1969872.8314 546259.5789, 1969872.8314 543728.0457, 1967867.8562 543728.0457))	12		41	10595	1594667754977	1594667755391	414	5	12	mr-05	0	false	0	true	403	95	6	5	0	0	967	0	0	0	0	0	0	0	0	292	55942	584	40	544	0	0	0	0624	Disks phase
6	10108	6	POLYGON ((1965862.8811 570942.0275, 1965862.8811 571574.9108, 1966364.1249 571574.9108, 1966364.1249 570942.0275, 1965862.8811 570942.0275))	12		41	10108	1594667753890	1594667754291	401	18	9	mr-10	0	false	0	true	307	163	76	10	0	0	967	0	0	0	0	0	0	0	0	0	11482	128	8	120	0	0	0	0624	Disks phase
583	10685	583	POLYGON ((1966865.3687 537715.6544, 1966865.3687 538032.0961, 1967115.9906 538032.0961, 1967115.9906 537715.6544, 1966865.3687 537715.6544))	12		41	10685	1594667755328	1594667755361	33	4	3	mr-04	0	false	0	true	25	19	4	3	0	0	967	0	0	0	0	0	0	0	0	0	2168	24	0	24	0	0	0	0624	Disks phase
697	10799	697	POLYGON ((1982905.1697 551322.6453, 1982905.1697 552588.4119, 1983907.6572 552588.4119, 1983907.6572 551322.6453, 1982905.1697 551322.6453))	12		41	10799	1594667755607	1594667755932	325	7	9	mr-10	0	false	0	true	314	37	4	4	0	0	967	0	0	0	0	0	0	0	0	273	18988	204	14	190	0	0	0	0624	Disks phase
703	10805	703	POLYGON ((1985912.6324 548791.1121, 1985912.6324 551322.6453, 1987917.6075 551322.6453, 1987917.6075 548791.1121, 1985912.6324 548791.1121))	12		41	10805	1594667755610	1594667756121	511	4	10	mr-01	0	false	0	true	500	34	7	4	0	168	1010	0	0	0	0	0	0	0	0	268	19146	208	18	190	0	0	0	0624	Disks phase
