tinstance	cellId	method	epsilon	time	n
320	35	BFE	18	0.00290723384	0
320	35	BFE	20	0.00274299916	0
320	35	PSI	10	3.6334114e-4	0
320	35	PSI	12	3.6011624e-4	0
320	35	PSI	14	3.5923738e-4	0
320	35	PSI	16	3.6872108000000003e-4	0
320	35	PSI	18	3.5335018e-4	0
320	35	PSI	20	3.3390916e-4	0
320	36	BFE	10	0.00643874264	3
320	36	BFE	12	0.0068005581199999995	6
320	36	BFE	14	0.006760157979999999	6
320	36	BFE	16	0.00760453738	6
320	36	BFE	18	0.00699430602	9
320	36	BFE	20	0.00715605694	11
320	36	PSI	10	0.00158576528	3
320	36	PSI	12	0.00202941962	6
320	36	PSI	14	0.00208166776	6
320	36	PSI	16	0.00272804824	6
320	36	PSI	18	0.0022770432	9
320	36	PSI	20	0.00244917972	11
320	37	BFE	10	0.00332997798	0
320	37	BFE	12	0.00338590786	0
320	37	BFE	14	0.00336073542	0
320	37	BFE	16	0.00338446942	0
320	37	BFE	18	0.0033620462999999997	0
320	37	BFE	20	0.00384782152	0
320	37	PSI	10	6.3578548e-4	0
320	37	PSI	12	6.2424258e-4	0
320	37	PSI	14	6.2042264e-4	0
320	37	PSI	16	6.566952e-4	0
320	37	PSI	18	6.5086762e-4	0
320	37	PSI	20	6.676277399999999e-4	0
320	38	BFE	10	0.00664019238	1
320	38	BFE	12	0.00662484232	1
320	38	BFE	14	0.0071668778200000005	4
320	38	BFE	16	0.00766059056	8
320	38	BFE	18	0.007881998099999999	13
320	38	BFE	20	0.009533258040000001	16
320	38	PSI	10	0.00158780588	1
320	38	PSI	12	0.00159974696	1
320	38	PSI	14	0.0019973585999999996	4
320	38	PSI	16	0.0024941899199999997	8
320	38	PSI	18	0.00281090562	13
320	38	PSI	20	0.00308469438	16
320	39	BFE	10	0.00486132558	0
320	39	BFE	12	0.00470725418	0
320	39	BFE	14	0.00563141868	0
320	39	BFE	16	0.007020249420000001	3
320	39	BFE	18	0.007347784559999999	6
320	39	BFE	20	0.007844529979999999	6
320	39	PSI	10	0.0015240614800000002	0
320	39	PSI	12	0.001517397	0
320	39	PSI	14	0.0017390023599999998	0
320	39	PSI	16	0.00183716282	3
320	39	PSI	18	0.00227960712	6
320	39	PSI	20	0.0023247831599999998	6
320	40	BFE	10	0.0031396250799999997	0
320	40	BFE	12	0.0032057723400000003	0
320	40	BFE	14	0.00319222152	0
320	40	BFE	16	0.0031664405	0
320	40	BFE	18	0.00319427148	0
320	40	BFE	20	0.0031153492	0
320	40	PSI	10	6.121113799999999e-4	0
320	40	PSI	12	6.021205e-4	0
320	40	PSI	14	5.9159814e-4	0
320	40	PSI	16	5.760610999999999e-4	0
320	40	PSI	18	5.8340466e-4	0
320	40	PSI	20	5.940942599999999e-4	0
320	41	BFE	10	0.00323311354	0
320	41	BFE	12	0.0031303806000000005	0
320	41	BFE	14	0.0031520326600000003	0
320	41	BFE	16	0.00326485368	0
320	41	BFE	18	0.00324265096	0
320	41	BFE	20	0.0035043392600000002	0
320	41	PSI	10	5.6279996e-4	0
320	41	PSI	12	5.867372e-4	0
320	41	PSI	14	5.8472674e-4	0
320	41	PSI	16	5.907121e-4	0
320	41	PSI	18	6.0673442e-4	0
320	41	PSI	20	7.4388758e-4	0
320	42	BFE	10	0.00765904434	9
320	42	BFE	12	0.00752970414	9
320	42	BFE	14	0.007956119639999999	9
320	42	BFE	16	0.007942164560000001	11
320	42	BFE	18	0.00929214984	19
320	42	BFE	20	0.00897483872	34
320	42	PSI	10	0.00252015168	9
320	42	PSI	12	0.00261279682	9
320	42	PSI	14	0.00273499326	9
320	42	PSI	16	0.0029000106799999996	11
320	42	PSI	18	0.00339007198	19
320	42	PSI	20	0.00364074812	34
320	43	BFE	10	0.00655673482	3
320	43	BFE	12	0.00832573548	7
320	43	BFE	14	0.0068803317599999995	7
320	43	BFE	16	0.006728546	7
320	43	BFE	18	0.0073591251400000005	9
320	43	BFE	20	0.00736634496	12
320	43	PSI	10	0.00165838456	3
320	43	PSI	12	0.0021320705200000003	7
320	43	PSI	14	0.00199921702	7
320	43	PSI	16	0.0019968013	7
320	43	PSI	18	0.0023536718800000003	9
320	43	PSI	20	0.00239762542	12
320	44	BFE	10	0.007700733580000001	3
320	44	BFE	12	0.00789260106	3
320	44	BFE	14	0.0076864850999999994	6
320	44	BFE	16	0.00865477544	15
320	44	BFE	18	0.00876973972	23
320	44	BFE	20	0.0103968934	32
320	44	PSI	10	0.00238988174	3
320	44	PSI	12	0.00200013068	3
320	44	PSI	14	0.00254656118	6
320	44	PSI	16	0.0030805388999999997	15
320	44	PSI	18	0.00323852894	23
320	44	PSI	20	0.0038239450599999994	32
320	45	BFE	10	0.00364232408	0
320	45	BFE	12	0.00729826338	3
320	45	BFE	14	0.00606274118	3
320	45	BFE	16	0.00602776872	3
320	45	BFE	18	0.0066183143	3
320	45	BFE	20	0.00613485838	3
320	45	PSI	10	7.842583e-4	0
320	45	PSI	12	0.00134819118	3
320	45	PSI	14	0.00131539896	3
320	45	PSI	16	0.00129702488	3
320	45	PSI	18	0.00140530902	3
320	45	PSI	20	0.00133680526	3
320	46	BFE	10	0.00444901538	0
320	46	BFE	12	0.00448689748	0
320	46	BFE	14	0.00812162238	3
320	46	BFE	16	0.00692393278	6
320	46	BFE	18	0.0069198132199999995	6
320	46	BFE	20	0.00873086716	6
320	46	PSI	10	0.00140316832	0
320	46	PSI	12	0.0014799891	0
320	46	PSI	14	0.00194621996	3
320	46	PSI	16	0.00207826872	6
320	46	PSI	18	0.00205535742	6
320	46	PSI	20	0.0026580872599999998	6
320	47	BFE	10	0.004377829880000001	0
320	47	BFE	12	0.00439373462	0
320	47	BFE	14	0.00456677646	0
320	47	BFE	16	0.00435020992	0
320	47	BFE	18	0.004592704939999999	0
320	47	BFE	20	0.0046129879	0
320	47	PSI	10	0.00122631886	0
320	47	PSI	12	0.0012596054000000001	0
320	47	PSI	14	0.00129365334	0
320	47	PSI	16	0.0014196999400000001	0
320	47	PSI	18	0.0014181123000000001	0
