2018-06-07 21:38:52,720 -> 

Iteration Epsilon=50, Mu=5 and Delta=5 has started...
0, 4, 2783 3215 7783 8741 9805 15033 16044 16240 16641 16714 19387
0, 4, 3215 5434 10475 14188 14264 16641
0, 4, 2003 3078 5434 5733 10475 13044 14188 14264 16325 16790
0, 4, 2003 3078 3215 5434 5733 10475 14188 14264 16325 16790
0, 4, 3215 5434 5733 10475 14124 14188 14264 16790
0, 4, 3078 5434 5733 10475 14124 14188 14264 16325 16790
0, 4, 2003 3078 5733 10475 13044 14124 14188 14264 16325 16790
0, 4, 2003 3020 3078 5733 10475 13044 14188 14264 16325 16790
0, 4, 757 2095 3078 5733 13044 14124 14264 16790
0, 4, 2003 2095 3020 3078 5733 13044 14124 14264 16325 16790
0, 4, 2514 2634 8895 9054 14220
0, 4, 2514 6766 7929 8895 9054 13814 16340 17166
0, 4, 2514 2634 8895 9054 17166
0, 4, 962 6596 7168 7764 8291
0, 4, 2127 3158 4574 5032 5437 6691 7530 12197 19421
0, 4, 2127 3158 5032 12197 13537 16724
0, 4, 2003 3215 5434 16325 16790 16849
0, 4, 1128 2201 6070 8151 11385
0, 4, 10902 11509 13746 14130 15502
0, 4, 10902 11509 13746 14130 16791 17726
0, 4, 10902 11509 13746 14130 17726 18995
0, 4, 10902 13746 14130 16791 17726 18995
0, 4, 10902 13746 14130 17624 18995
0, 4, 10153 10521 10902 14130 16791 17624 17726 18995
0, 4, 8752 9614 10902 14549 17624
0, 4, 8752 9614 12541 14549 17434 19471
0, 4, 9614 10153 14549 17434 17624
0, 4, 8752 9614 12541 16075 19471
0, 4, 1604 3658 10153 14549 17434
0, 4, 1604 3658 10153 14549 17624
0, 4, 3658 10153 14549 17434 17624
0, 4, 825 7741 10153 10521 11800 16791 18995
0, 4, 825 10153 10521 11800 16791 17624 17726 18995
0, 4, 1604 3658 10153 10521 17624 18995
0, 4, 825 7338 7355 7741 8105
0, 4, 825 7338 7741 8105 11838
0, 4, 1604 3658 7741 8105 10521
0, 4, 1604 3658 7741 10153 10521 18995
0, 4, 4916 5572 7338 7355 7741 8105 11838 14168
0, 4, 825 7741 10521 11800 14772 16791 17129 17726 18995
0, 4, 4202 7338 7355 7741 8105 11838 14168 17544
0, 4, 825 7741 8105 10521 11800 18995
0, 4, 11295 12300 12369 16778 18176
0, 4, 12300 12369 16778 17067 18176
0, 4, 329 1604 3640 4202 7338 7741 8105 11838 14168 17544
0, 4, 329 3640 4828 9416 11764 19277 19397
0, 4, 329 3640 4202 7338 7355 8105 11838 13110 14168 17544
0, 4, 1604 3658 4202 7338 7741 8105
0, 4, 329 1604 3640 3658 4202 7338 8105 9416 11838 14168 17544
